completed_at,merchant,category,amount,first,last,gender,street,city,state,role,currency
2020-01-27T17:46:01,"Hahn, Bahringer and McLaughlin",personal_care,8.0,Brian,Williams,M,32941 Krystal Mill Apt. 552,Titusville,FL,Set designer,CAD
2020-03-20T05:06:14,Ledner-Pfannerstill,gas_transport,54.25,Kyle,Park,M,7507 Larry Passage Suite 859,Mount Perry,OH,Barrister's clerk,CAD
2019-03-30T18:35:55,Daugherty LLC,kids_pets,33.06,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,Building surveyor,USD
2019-10-14T23:50:19,Kassulke PLC,shopping_net,10.3,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,Amenity horticulturist,CAD
2020-03-09T21:00:18,"Nicolas, Hills and McGlynn",entertainment,73.75,Tanner,Carroll,M,494 Burke Ports,Cokeburg,PA,Dealer,USD
2019-12-29T06:39:22,Parisian and Sons,gas_transport,63.62,Billy,Gallagher,M,673 Delgado Burg,Greenwich,NJ,Insurance risk surveyor,CAD
2019-08-30T15:00:07,Osinski Inc,personal_care,76.24,Daniel,Jones,M,290 Kathryn Fall,Huntsville,AL,"Engineer, automotive",USD
2020-04-08T13:34:34,Pollich LLC,home,34.48,Robert,Velazquez,M,3136 Silva Stream,Parker,CO,Materials engineer,USD
2019-11-03T05:46:53,Kilback LLC,grocery_pos,80.04,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,Research scientist (life sciences),CAD
2019-08-30T02:29:00,"Nienow, Ankunding and Collier",misc_pos,9.28,Jeremy,Moore,M,574 Patricia Extensions,Lubbock,TX,"Doctor, general practice",CAD
2019-12-30T21:00:05,Gleason and Sons,kids_pets,71.01,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,Camera operator,USD
2019-02-26T19:07:57,"O'Reilly, Mohr and Purdy",home,45.92,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,Child psychotherapist,CAD
2020-06-02T07:10:46,Predovic Inc,shopping_net,4.42,Monica,Lane,F,3270 Scott Islands,East Andover,ME,Animal nutritionist,CAD
